"participants","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38"
"P1",2,0,-3,-2,2,1,3,-5,-1,4,1,0,3,1,0,1,3,-3,0,-1,-4,0,-1,5,-1,-3,-2,1,-2,0,4,0,0,-1,2,-4,2,-2
"P2",-2,4,1,1,2,1,5,-3,-2,0,0,-3,3,0,0,-1,3,0,-1,1,-2,2,-3,-4,0,0,-1,2,-1,-2,2,1,0,3,4,-4,-5,-1
"P3",-3,-2,2,1,-3,-1,0,-4,-1,0,-2,1,2,2,3,3,0,-1,-4,-1,4,1,0,-1,-3,4,1,5,-2,2,-5,0,0,0,-2,1,3,0
